	City	Cloudiness	Country	Date	Humidity	Lat	Lng	Max Temp	Wind Speed
375	Oussouye	0	SN	1542488400	74	12.49	-16.54	78.8	6.93
376	Honiara	75	SB	1542492000	66	-9.43	159.96	87.8	5.82
377	Hay River	90	CA	1542488400	84	60.82	-115.79	3.2	4.7
378	Westport	0	IE	1542493416	94	53.8	-9.52	48.7	17.67
379	Xining	56	CN	1542493367	75	36.62	101.77	10.0	2.13
380	Dong Hoi	80	VN	1542493246	100	17.48	106.6	78.67	8.39
381	Nioro	76	GM	1542493416	35	13.79	-15.05	82.9	16.55
382	Pando	75	UY	1542492000	88	-34.72	-55.96	66.2	5.82
383	Nouadhibou	0	MR	1542492000	88	20.93	-17.03	64.4	4.7
384	Codrington	88	AU	1542493199	100	-28.95	153.24	62.34	6.38
385	Port Hardy	20	CA	1542488400	81	50.7	-127.42	44.6	5.82
386	Lebanon	90	US	1542491760	81	43.64	-72.25	42.08	5.7
387	Lubango	0	AO	1542493418	82	-14.92	13.49	62.65	2.57
388	Ilhabela	12	BR	1542493302	97	-23.78	-45.36	73.09	17.78
389	Muros	0	ES	1542492000	71	42.77	-9.06	55.4	5.82
390	Sistranda	75	NO	1542491400	100	63.73	8.83	42.8	4.7
391	Norsup	0	VU	1542493419	89	-16.07	167.38	77.86	6.71
392	La Ronge	75	CA	1542488400	71	55.1	-105.3	8.6	12.75
393	Dinanagar	36	IN	1542493420	54	32.14	75.47	49.02	4.59
394	Nortelandia	8	BR	1542493390	83	-14.45	-56.8	85.24	3.36
395	Poshekhonye	64	RU	1542493420	98	58.5	39.12	36.37	10.29
396	Laje	0	BR	1542493421	64	-13.18	-39.42	76.65	12.64
397	Luhyny	20	UA	1542493421	76	51.08	28.4	18.42	2.91
398	Magadan	88	RU	1542490200	83	59.56	150.8	-9.41	2.24
399	Praya	40	ID	1542492000	100	-8.71	116.27	77.0	2.24
400	Songculan	20	PH	1542488400	94	9.63	123.83	77.0	4.7
401	Yangjiang	92	CN	1542493422	100	21.85	111.96	75.3	12.41
402	Baramula	0	IN	1542493422	96	34.2	74.35	23.05	1.45
403	Sao Jose da Coroa Grande	92	BR	1542493047	87	-8.9	-35.15	78.76	10.51
404	Rio Grande	90	BR	1542487500	100	-32.03	-52.1	68.0	6.93
405	Anadyr	90	RU	1542488400	85	64.73	177.51	10.4	15.66
406	Esso	12	RU	1542493423	51	55.93	158.7	-6.16	2.24
407	Vung Tau	40	VN	1542490200	94	10.35	107.08	77.0	2.24
408	Banjar	56	ID	1542493113	98	-7.37	108.54	70.66	2.24
409	Hofn	92	IS	1542493019	93	64.25	-15.21	46.72	14.43
410	The Valley	20	AI	1542492000	78	18.22	-63.06	80.6	11.41
411	Makow Mazowiecki	32	PL	1542493424	81	52.86	21.1	24.63	2.91
412	Nchelenge	64	ZM	1542493425	91	-9.35	28.74	67.92	2.13
413	Te Anau	88	NZ	1542493100	94	-45.41	167.72	43.39	7.94
414	Ust-Maya	88	RU	1542493425	73	60.42	134.54	0.24	4.14
415	College	40	US	1542491880	88	64.86	-147.8	5.0	5.26
416	Soure	20	PT	1542492000	72	40.06	-8.63	64.4	14.99
417	Lalmohan	0	BD	1542493426	92	22.34	90.74	73.72	5.14
418	Saint Anthony	1	US	1542491760	49	43.97	-111.68	37.04	4.7
419	Nankana Sahib	0	PK	1542489900	72	31.44	73.69	59.0	2.91
420	Longonjo	0	AO	1542493427	81	-12.91	15.25	62.02	2.57
421	Arlit	0	NE	1542493213	33	18.74	7.39	64.0	3.58
422	Chemainus	1	CA	1542491700	61	48.92	-123.72	50.0	6.93
423	Launceston	0	AU	1542492000	71	-41.43	147.14	57.2	3.36
424	Nyurba	0	RU	1542493428	61	63.29	118.35	-13.04	5.37
425	Lensk	0	RU	1542493429	93	60.71	114.91	-16.28	3.36
426	Ufimskiy	92	RU	1542493429	90	56.71	58.05	26.92	5.48
427	Ler	75	NO	1542491400	100	63.2	10.3	42.8	5.82
428	Kununurra	12	AU	1542492000	94	-15.77	128.74	77.0	2.24
429	Zuwarah	88	LY	1542493430	100	32.93	12.08	59.86	7.72
430	Milledgeville	1	US	1542491760	72	33.08	-83.23	62.96	3.36
431	Slobozia	0	RO	1542493409	91	44.56	27.36	31.74	11.52
432	Nantucket	40	US	1542492900	62	41.28	-70.1	44.96	5.82
433	Jumla	0	NP	1542493431	75	29.28	82.18	11.85	1.79
434	Simbahan	32	PH	1542493431	100	6.3	120.58	82.09	14.2
435	Sur	44	OM	1542493082	93	22.57	59.53	79.84	9.62
436	Kuminskiy	36	RU	1542493432	88	58.67	66.57	17.65	2.57
437	Sam Chuk	88	TH	1542493432	93	14.75	100.09	75.16	3.36
438	Bambous Virieux	40	MU	1542488400	88	-20.34	57.76	73.4	11.41
439	Yanam	80	IN	1542493433	97	16.73	82.22	75.03	6.04
440	Bathsheba	20	BB	1542492000	78	13.22	-59.52	80.6	14.99
441	Carnot	0	CF	1542493433	74	4.94	15.87	74.67	2.68
442	Mamou	8	GN	1542493434	93	10.37	-12.08	68.73	1.45
443	Vestmanna	0	FO	1542491400	87	62.16	-7.17	46.4	18.34
444	Lincoln	0	GB	1542491400	100	53.23	-0.54	48.2	8.05
445	Camacha	40	PT	1542490200	72	33.08	-16.33	60.8	24.16
446	Mackay	40	CA	1542488400	79	53.65	-115.58	26.6	12.75
447	Buenos Aires	20	AR	1542492000	60	-34.61	-58.44	73.4	6.93
448	Fort Nelson	90	CA	1542491100	84	58.81	-122.69	3.2	2.24
449	Malpe	68	IN	1542492000	83	13.35	74.72	77.0	3.36
450	San Jose	76	PH	1542493196	98	15.79	120.99	70.53	1.9
451	Aden	88	YE	1542493156	100	12.79	45.03	78.22	7.72
452	Nabire	8	ID	1542493437	93	-3.36	135.5	66.48	2.91
453	Mehamn	8	NO	1542493438	86	71.03	27.85	31.38	7.16
454	Tabou	56	CI	1542493438	100	4.42	-7.36	80.34	8.39
455	Karratha	0	AU	1542493086	23	-20.74	116.85	85.06	16.89
456	Shimoda	20	JP	1542493077	100	34.7	138.93	59.5	19.69
457	Ketchikan	90	US	1542491760	88	55.34	-131.65	46.04	19.46
458	Shelburne	90	CA	1542490080	80	44.08	-80.2	33.8	10.29
459	Maltahohe	24	NA	1542493439	25	-24.83	16.98	75.3	12.19
460	Bundaberg	92	AU	1542493079	100	-24.87	152.35	71.07	9.28
461	Chalatenango	0	SV	1542491400	54	14.04	-88.94	91.4	11.41
462	Mogadishu	20	SO	1542493440	100	2.04	45.34	80.92	5.59
463	Dubrovytsya	24	UA	1542493441	71	51.57	26.57	17.02	2.91
464	Sambava	80	MG	1542493101	100	-14.27	50.17	76.06	15.66
465	Nkowakowa	0	ZA	1542493442	76	-23.89	30.29	60.27	2.01
466	Novyy Nekouz	68	RU	1542493443	95	57.91	38.06	36.01	11.18
467	Ust-Nera	20	RU	1542493443	32	64.57	143.24	-24.16	1.12
468	Altayskoye	56	RU	1542493443	71	51.95	85.34	10.72	3.13
469	Lompoc	1	US	1542491760	67	34.64	-120.46	69.8	14.99
470	Touros	0	BR	1542493137	77	-5.2	-35.46	80.97	16.33
471	Yongan	0	CN	1542493444	57	39.7	113.69	18.55	8.39
472	Guerrero Negro	0	MX	1542493074	50	27.97	-114.04	71.97	7.94
473	Poum	92	MK	1542493445	99	41.28	20.71	30.39	2.13
474	Suez	0	EG	1542493446	86	29.97	32.54	50.82	2.35
475	Oulainen	0	FI	1542493446	74	64.27	24.8	41.64	12.41
476	Berlevag	68	NO	1542493190	100	70.86	29.09	34.98	11.52
477	Igrim	88	RU	1542493446	91	63.19	64.42	22.69	5.59
478	Swan River	32	CA	1542493447	79	52.11	-101.27	9.82	11.41
479	Port Blair	76	IN	1542493223	98	11.67	92.75	84.34	9.4
480	Ambulu	80	ID	1542493169	100	-8.35	113.61	78.45	2.8
481	Yar-Sale	92	RU	1542493138	98	66.83	70.83	15.31	18.68
482	Sao Felix do Xingu	56	BR	1542493448	81	-6.64	-51.99	81.69	2.91
483	Onguday	68	RU	1542493448	85	50.75	86.14	3.79	1.9
484	Aykhal	32	RU	1542493189	32	65.95	111.51	-23.21	2.68
485	Qasigiannguit	76	GL	1542491400	85	68.82	-51.19	23.0	12.75
486	Dabeiba	92	CO	1542493449	94	7.0	-76.27	69.31	2.24
487	Tailai	36	CN	1542493449	82	46.39	123.41	15.0	1.9
488	Abha	0	SA	1542488400	54	18.22	42.5	59.0	4.7
489	Keti Bandar	0	PK	1542493450	97	24.14	67.45	80.25	8.61
490	Sargatskoye	92	RU	1542493450	93	55.6	73.49	19.81	8.95
491	Stepanov	64	RU	1542493450	80	47.64	38.83	23.77	6.38
492	Magadi	40	IN	1542492000	100	12.96	77.22	68.0	3.36
493	Remedios	75	CU	1542491520	83	22.5	-79.55	77.0	12.75
494	Kudat	75	MY	1542488400	100	6.89	116.84	73.4	2.46
495	Yerbogachen	48	RU	1542493452	62	61.28	108.01	-8.09	3.13
496	Mocuba	20	MZ	1542493452	73	-16.84	36.99	77.19	4.36
497	Kupang	20	ID	1542493452	100	-10.16	123.6	79.08	1.68
498	Amuntai	76	ID	1542493194	94	-2.42	115.25	75.3	2.01
499	Khani	75	GE	1542490200	93	41.96	42.96	46.4	5.82
500	Havre	1	US	1542491580	64	48.55	-109.68	23.0	13.87
501	Shakawe	24	BW	1542493454	22	-18.36	21.84	75.16	5.93
502	De Aar	56	ZA	1542493454	23	-30.65	24.01	66.07	5.93
503	Sucre	76	BO	1542493455	43	-19.05	-65.26	67.6	3.24
504	Harper	1	US	1542491460	46	30.3	-99.24	73.04	10.29
505	Angoram	56	PG	1542493357	100	-4.06	144.07	76.02	2.24
506	Massakory	0	TD	1542493455	33	13.0	15.73	75.12	7.38
507	Northampton	0	GB	1542491400	100	52.24	-0.9	42.8	11.41
508	Ahuimanu	90	US	1542491820	71	21.44	-157.84	80.96	14.99
509	Piacabucu	20	BR	1542493456	71	-10.41	-36.43	80.11	11.74
510	Kanniyakumari	20	IN	1542493456	100	8.08	77.57	82.99	2.35
511	Tendukheda	0	IN	1542493457	74	23.4	79.54	59.1	2.68
512	Ambon	90	FR	1542492000	80	47.55	-2.56	41.0	16.11
513	Ladyzhyn	68	UA	1542493457	88	48.68	29.26	23.32	6.82
514	Valley	0	GB	1542491400	81	53.28	-4.56	46.4	11.41
515	Vilyuysk	0	RU	1542493458	65	63.75	121.63	-14.17	6.04
516	Allanridge	24	ZA	1542493458	23	-27.75	26.64	69.49	9.62
517	Coahuayana	0	MX	1542493458	35	18.62	-100.35	83.94	2.91
518	Sept-Iles	75	CA	1542488400	79	50.2	-66.38	26.6	6.93
519	Nautla	80	MX	1542493459	100	20.22	-96.78	71.43	3.58
520	Murray	75	US	1542491640	62	40.67	-111.89	44.96	5.82
521	Dauphin	1	CA	1542488400	72	51.15	-100.04	12.2	20.8
522	Victoria Point	75	AU	1542492000	78	-27.58	153.3	75.2	10.29
523	Auki	0	NG	1542493460	38	12.18	6.51	73.72	9.95
524	Kampene	76	CD	1542493460	89	-3.59	26.67	71.52	1.23
525	Sassandra	24	CI	1542493461	100	4.95	-6.09	80.43	13.76
526	Tottori	20	JP	1542490200	100	35.5	134.23	44.6	8.05
527	Whitehorse	40	CA	1542488400	85	60.72	-135.06	32.0	6.93
528	Am Timan	0	TD	1542493197	57	11.04	20.28	67.24	2.8
529	Thinadhoo	20	MV	1542493461	97	0.53	72.93	83.89	14.32
530	Tual	56	ID	1542493462	100	-5.67	132.75	82.81	1.12
531	Biloela	76	AU	1542493462	100	-24.4	150.51	67.15	4.14
532	Sinaloa	75	MX	1542491820	13	32.55	-115.28	77.0	5.82
533	Chiredzi	0	ZW	1542493463	48	-21.05	31.67	81.91	10.07
534	Suntar	0	RU	1542493054	65	62.16	117.65	-14.26	4.03
535	Komsomolets	20	RU	1542493463	71	52.77	41.29	16.75	11.07
536	Vandavasi	32	IN	1542493464	92	12.51	79.61	71.97	3.36
537	Okhotsk	92	RU	1542493110	98	59.36	143.24	25.3	10.18
538	Ola	88	RU	1542490200	83	59.58	151.3	-9.41	2.24
539	Lata	48	IN	1542493106	68	30.78	78.62	30.48	1.9
540	Araouane	56	ML	1542493202	32	18.9	-3.53	74.49	7.72
541	Yuanping	36	CN	1542493221	55	38.72	112.71	20.94	6.93
542	Alfeld	1	DE	1542491760	99	49.43	11.54	37.4	13.76
543	Wagar	44	US	1542493465	50	31.44	-87.99	62.88	2.8
544	Alyangula	8	AU	1542493154	100	-13.85	136.42	82.09	6.93
545	Mindelo	0	PT	1542492000	59	41.31	-8.72	64.4	8.05
546	Winnemucca	1	US	1542491760	38	40.97	-117.74	55.04	11.41
547	Los Llanos de Aridane	48	ES	1542492000	63	28.66	-17.92	66.2	2.24
548	Petropavlovsk-Kamchatskiy	90	RU	1542490200	100	53.05	158.65	30.2	6.71
